cep,urdu_input,english_output
237,آج صبح جلدی اٹھا، نہایا، ناشتہ کیا اور نکل گیا، راستے میں چائے والے سے چائے لی کیونکہ گھر میں دودھ نہیں تھا، دفتر پہنچا تو پتہ چلا آج میٹنگ نہیں تھی، سب کو میسج آیا تھا لیکن میرا نیٹ ورک نہیں تھا اس لیے ملا نہیں۔,"I woke up early this morning, got ready, had breakfast, and left — I picked up tea from the tea stall on the way because there was no milk at home — when I got to the office, turns out there was no meeting today — everyone got a message but my network was down so I missed it."
238,محلے کی مسجد میں آج بہت اچھا بیان ہوا، امام صاحب نے رشتوں کے بارے میں بات کی، کہا کہ والدین کی خدمت سب سے بڑی عبادت ہے، گھر آ کر ابو کے پیر دبائے، وہ بہت خوش ہوئے۔,"There was a wonderful sermon at the neighborhood mosque today — the imam spoke about relationships and said that serving your parents is the greatest worship — I came home and massaged Dad's feet, he was very pleased."
239,بھائی، یہ گلی میں جو نئی سڑک بنی ہے، وہ بھی ایک مہینے میں اکھڑ گئی، ٹھیکیدار نے گھٹیا مال لگایا ہوگا، ٹیکس کے پیسے جاتے کہاں ہیں کچھ سمجھ نہیں آتا، کراچی کی تقدیر ہے یہ۔,"Bro, the new road they built in the street crumbled within a month — the contractor must have used cheap material — I don't know where the tax money goes, this is just Karachi's fate."
240,آج عید کی خریداری کے لیے بولٹن مارکیٹ گیا، اتنا رش تھا کہ چلنا مشکل تھا، قیمتیں بھی زیادہ تھیں، لیکن بچوں کے کپڑے پسند آ گئے، اپنے لیے بھی ایک جوڑا لیا، کل درزی کے پاس دینا ہے۔,"Today I went to Bolton Market for Eid shopping — it was so crowded you could barely walk and the prices were high — but the kids' clothes looked great, I also got an outfit for myself, need to drop it at the tailor's tomorrow."
241,یار، یہ جو نئی سرکار آئی ہے انھوں نے بھی کراچی کے مسائل نہیں سنے، بجلی، پانی، سڑکیں، سب ویسے ہی ہیں، ہر بار وعدے ہوتے ہیں لیکن کام نہیں ہوتا، عوام کو اب یقین ہی نہیں رہا کسی پر۔,"Dude, this new government also hasn't addressed Karachi's problems — electricity, water, roads, everything is the same — there are always promises but never any action — the people have stopped trusting anyone."
242,امی نے آج خود پکوڑے بنائے شام کو، گھر میں خوشبو پھیل گئی، سب بچے اکٹھے ہو گئے، چائے کے ساتھ کھائے، یہ چھوٹے چھوٹے لمحے ہی زندگی کو خوبصورت بناتے ہیں۔,"Mom made pakoras herself this evening — the whole house filled with the aroma, all the kids gathered around, had them with tea — these small moments are what make life beautiful."
243,بھائی، موٹر سائیکل پر جا رہا تھا کہ ٹریفک پولیس نے روک لیا، ہیلمٹ نہیں تھا، دو سو روپے جرمانہ ہو گیا، آگے سے ہیلمٹ رکھوں گا ساتھ، لیکن یہ ہیلمٹ والا قانون صرف عام آدمی پر لاگو ہوتا ہے، بڑے لوگ بغیر ہیلمٹ کے گھومتے ہیں۔,"Bro, I was on my motorbike when a traffic officer stopped me — no helmet, 200 rupee fine — I'll keep the helmet with me from now on — but this helmet law only seems to apply to common people, the big shots ride around without helmets."
244,آج ہفتے کا دن تھا، بچوں کو اسکول نہیں تھا، صبح دیر تک سوئے، پھر ناشتے میں پراٹھے اور آملیٹ کھائی، بچے کھیلتے رہے، ہم نے گھر کا کام کیا، شام کو پارک گئے، بہت سکون کا دن رہا۔,"Today was Saturday — kids had no school, slept in late, had parathas and omelette for breakfast, the kids played around, we did the housework, went to the park in the evening — it was a very peaceful day."
245,یار، نئی دوکان کھولنے کا سوچ رہا ہوں، کچھ بچت ہے، سوچا ہے کریانے کی دکان لگاؤں محلے میں، لیکن سرمایہ کم ہے اور لاگت بڑھتی جا رہی ہے، ابو سے مشورہ کریں گے، وہ زیادہ سمجھتے ہیں کاروبار کے بارے میں۔,"Dude, I'm thinking of opening a new shop — I have some savings — thinking of setting up a grocery shop in the neighborhood, but capital is tight and costs keep rising — I'll consult Dad, he understands business better."
246,گھر میں شادی کی تیاری ہو رہی ہے، چھوٹی بہن کی شادی اگلے مہینے ہے، کپڑے بن رہے ہیں، جیولری دیکھی جا رہی ہے، مہمانوں کی لسٹ بن رہی ہے، گھر میں ہر طرف گہما گہمی ہے اور امی بہت مصروف ہیں۔,"Wedding preparations are underway at home — little sister's wedding is next month — clothes are being stitched, jewelry is being looked at, the guest list is being made — there's a buzz throughout the house and Mom is very busy."
247,بھابھی، آج رات کھانا مجھ سے بنوا لیں، میں نے نئی ڈش سیکھی ہے یوٹیوب سے، مرغی کا سالن تھوڑا مختلف طریقے سے بنائیں گے، اگر پسند نہیں آیا تو میں آرڈر کروا دوں گا باہر سے، لیکن کوشش کرتے ہیں۔,"Bhabhi, let me cook dinner tonight — I learned a new dish from YouTube, I'll make chicken curry a slightly different way — if it doesn't turn out well, I'll order from outside, but let's give it a shot."
248,نکل لے اور کلٹی ہو جا,go away
249,جانی شکر، بچت ہو گئی,Thank God! We are safe
250,ابے یار، تیری ہر بار کی ہے، ٹوپی نہ کرا!,"Dude, you do this every time, don't try to fool me!"
251,ایسا جھانپڑ پڑے گا نا، سارا بچ بولے گا,"I'll slap you so hard, everyone will hear it"
252,بھائی تو بالکل خالص، کھرا، اصلی، پکا ڈھکن ہے,"Bro, you are a complete idiot"
253,بھائی تو بہت دماغ کی دہی کرتا ہے، اپنا کما جا کر کیوں نہیں کرت,"Bro, you stress everyone out, why don't you go earn your own and do it"
254,ابے یار اس کا بہت مذاق بنایا، اتنا کہ اس کی ہٹا دی سہی سے,"Dude, we mocked him so much that we really got rid of him properly"
255,یار کیا ہے، کوئی جھکاس لگ رہے ہو تم ان کپڑوں میں!,"Man, you're looking absolutely awesome in these clothes!"
256,بابر اعظم نے کیا ہے کوئی کلاسک کور ڈرائیو ماری ہے نا یار,"Babar Azam played a classic cover drive, didn't he bro"
257,اس سال گرمی نے بہت تنگ کیا پورے کراچی کو,This year the heat has really troubled all of Karachi
258,ابے یار تو یہاں سے نکل جا اور دوبارہ میرے سامنے مت آنا,"Dude, get out of here and don't come in front of me again"
259,بھائی چل بے یہاں سے، تیری باتیں سن سن کر دماغ خراب ہو گیا میرا,"Bro, just leave, listening to your nonsense has fried my brain"
260,یار تو بس چلتا بن اور میرا دماغ مت کھا آج کے دن,Just get moving and don't eat my brain today
261,ابے سائیڈ دے نا یار، سب کو بیٹھنے کی جگہ چاہیے یہاں,"Come on man, move aside, everyone needs space to sit here"
262,ار تھوڑا ہٹ جا اور سائیڈ دے، کھڑے کھڑے تھک گیا ہوں میں,"Move a little and make way, I'm tired of standing"
263,ابے سائیڈ ہو جا یار، دروازے کے بیچ میں کھڑا ہے اور سب کو اندر جانا ہے,"Move to the side man, you're standing in the middle of the door and everyone needs to go in"
264,ھائی امن ہے نا، کل سے فون نہیں اٹھا رہا تھا تو سب پریشان ہو گئے تھے,"Bro is everything okay? You weren't picking up your phone since yesterday, everyone got worried"
265,امن ہے گھر میں? سنا ہے پڑوسیوں سے کچھ جھگڑا ہو گیا تھا کل رات,Is everything okay at home? I heard there was some fight with the neighbours last night
266,یار چل کر نا، اتنی چھوٹی سی بات پر اتنا غصہ کرنے کی کیا ضرورت ہے بھائی,"Come on man, chill out, why do you need to get so angry over such a small thing"
267,بھائی چل کر، امتحان ابھی دو ہفتے دور ہے اور تو ابھی سے پریشان ہو رہا ہے,"Bro, relax, the exam is still two weeks away and you're already stressing out"
268,یار ذرا چل کر اور سکون سے بیٹھ، گھر میں سب ٹھیک ہو جائے گا وقت کے ساتھ,"Man, just chill and sit calmly, everything at home will be fine with time"
269,ابے چل کر یار، میچ ہارا ہے تو کیا ہوا اگلی بار پھر کھیلیں گے سب مل کر,"Dude, chill out, so what if we lost the match, we'll play again next time together"
270,یار تو نے پھر بھنڈ مار دی، اتنا آسان کام تھا اور تو نے وہ بھی ٹھیک سے نہیں کیا,"Man, you screwed up again, it was such an easy task and you couldn't even do that right"
271,ابے تو نے میرا کام کرنے گیا تھا مگر وہاں جا کر سب کی بھنڈ مار آیا یار,You went to do my work but ended up messing everything up for everyone there
272,ار اگر تو نے اس بار بھی بھنڈ ماری تو پھر دوبارہ کوئی کام نہیں دوں گا تجھے,"If you mess things up again this time, I won't give you any work again"
273,بھائی سائیڈ دے نا، بزرگ آدمی کھڑا ہے اور تجھے کوئی فرق نہیں پڑتا,"Bro, move aside, there's an elderly person standing and you don't even care"
274,یاار امن ہے نا، صبح سے چپ چپ بیٹھا ہے کچھ ہوا ہے کیا تجھے?,"Hey, are you alright? You've been sitting quietly since morning, has something happened?"
275,ابے چل کر یار، ایک غلطی پر اتنا رونا دھونا مچانے کی کوئی ضرورت نہیں,"Dude, chill, there's no need to make such a big deal over one mistake"
276,چل بے گھر جا اور ممی ڈیڈی کو بتا کہ آج کیا کیا تو نے باہر,Go home and tell mom and dad what you did outside today
277,بھائی تو نے پھر بھنڈ ماری، سائیڈ لینے کو کہا تھااور تو نے سنا ہی نہیں,"Bro, you screwed up again, you were told to move aside and you didn't even listen"
278,یار امن ہے بازار میں، سنا ہے آج وہاں کچھ لڑائی جھگڑا ہو گیا تھا,Is everything okay in the market? I heard there was some fighting there today
279,کیا حال ہے؟,How are you?
280,استاد پیلاگ شاٹ ہے اس کا,It has some fault
281,کہاں غائب ہو,Where have you disappeared to?
282,مجھے نہیں چاہیے یہ,I don't want this
283,میرا میٹر شاٹ ہو رہا ہے,I'm losing my mind
284,بکواس نہ کرو,Stop talking nonsense
285,اور جانی کیا حال ہیں؟,"And brother, how are you?"
286,اور سناؤ کیا حال ہے,"So tell me, how are things?"
287,کہیں کھانے پر چلتے ہیں,Let's go out to eat somewhere
288,زیرو میٹر بائیک ہے یہ,This is a brand new  bike
289,کیا حال چال ہیں برو؟,How's it going bro?
290,پاگل ہو کیا؟,Are you crazy?
291,یار آج لنچ میں کیا آرڈر کرنا ہے؟,"Man, what should we order for lunch today?"
292,ابے یار کیا مسئلہ ہے؟,"Hey man, what's the problem?"
293,کیا سین ہے بھائی؟,What's the situation/scene bro?
294,ابے یار آج کراچی کا ٹریفک اتنا زیادہ تھا کہ آفس پہنچتے پہنچتے دماغ ہی خراب ہو گیا,"Man, the Karachi traffic was so bad today that my mind was completely fried by the time I reached the office"
295,آج کا موسم بہت اچھا ہے,The weather today is very nice
296,کہاں جا رہے ہو؟,Where are you going?
297,کیا کر رہے ہو آج کل؟,What have you been up to lately?
298,کیا ہوا؟ سب خیریت ہے؟,What happened? Is everything okay?
299,بھائی کہاں پر ہے تو؟,"Bro, where are you?"
300,کیا پلان ہے آگے کا؟,What's the plan going forward?
301,ہاں بھائی جلدی پوچھو یہاں,"Yeah bro, ask quickly here"
302,شکل اچھی نہ ہو تو بات اچھی کر لیتے ہیں,"If you're not good-looking, at least talk nicely"
303,ابے کہاں جا رہا ہے؟,"Dude, where are you going?"
304,کہاں غائب ہو؟,Where have you disappeared to?
305,یار آج کراچی میں اتنی گرمی ہے کہ باہر نکلنا بھی مشکل ہو گیا ہے,"Man, it's so hot in Karachi today that even going outside has become difficult"
306,بھائی تو نے بتایا کیوں نہیں کہ تو آفس نہیں آ رہا، سب انتظار کرتے رہے,"Bro, why didn't you tell us you weren't coming to office, everyone kept waiting"
307,ابے یار لنچ کا کیا پلان ہے، بھوک لگ رہی ہے اور وقت بھی ہو گیا ہے,"Dude, what's the lunch plan, I'm hungry and it's already time"
308,یار پاگل مت بنو، اتنا آسان کام ہے اور تم سے ہو نہیں رہا,"Man, don't be foolish, it's such an easy task and you can't even do it"
309,بھائی موسم دیکھو آج کا، ایسے میں کہیں گھومنے نکلنا چاہیے,"Bro, look at the weather today, we should go out somewhere in this kind of weather"
310,ابے کہاں غائب تھا اتنے دنوں سے، فون بھی نہیں اٹھا رہا تھا تو,"Dude, where have you been hiding all these days, you weren't even picking up the phone"
311,یار اس بندے کا شاٹ دیکھو، بالکل استاد لیول کا کھیل ہے اس کا,"Man, look at that guy's shot, his game is completely master-level"
312,بھائی میرا دماغ شاٹ ہو گیا ہے، صبح سے اتنا کام ہے کہ سانس لینے کی فرصت نہیں,"Bro, my mind has blown, there's so much work since morning that I haven't had time to breathe"
313,یار بکواس چھوڑو اور سیدھا بتاؤ کہ آج شام کا کیا پروگرام ہے,"Man, stop the nonsense and tell me straight what the plan is for this evening"
314,ابے سین کیا ہے یار، صبح سے چپ ہے اور کسی سے بات بھی نہیں کر رہا,"Dude, what's going on, you've been quiet since morning and not talking to anyone"
315,بھائی کہاں جا رہا ہے اتنی جلدی میں، رک ایک منٹ بات تو کر لے,"Bro, where are you going in such a hurry, stop for a minute and let's talk"
316,یار مجھے نہیں چاہیے یہ کام، تو کسی اور کو دے دے یہ ذمہ داری,"Man, I don't want this work, give this responsibility to someone else"
317,ابے آج کل کیا چل رہا ہے تیرے ساتھ، خیریت تو ہے نا سب ٹھیک ہے,"Dude, what's been going on with you lately, everything is okay right?"
318,بھائی زیرو میٹر گاڑی لی ہے تو نے اور پہلے ہی دن بھنڈ مار دی پارکنگ میں,"Bro, you just got a brand new car and on the very first day you crashed it in the parking"
319,ابے استاد ہے تو کام میں مگر وقت پر آنا سیکھ لے ورنہ نوکری جائے گی,"Dude, you're a master at your work but learn to come on time or you'll lose your job"
320,یار موسم اتنا اچھا ہے آج کہ دفتر چھوڑ کر سمندر کنارے بیٹھنے کا دل ہے,"Man, the weather is so nice today that I feel like ditching the office and sitting by the sea"
321,بھائی ممی نے کہا تھا جلدی آنا اور تو ابھی تک باہر گھوم رہا ہے دوستوں کے ساتھ,"Bro, mom told you to come home early and you're still roaming around outside with friends"
322,ابے میٹر شاٹ ہو گیا میرا، صبح سے تین بندوں نے تین الگ مسئلے لا کر دے دیے,"Dude, I've completely lost it, since morning three different people brought three different problems to me"
323,کھانے پر چلتے ہیں مگر اس بار تو بل دے گا کیونکہ پچھلی بار میں نے دیا تھا,Let's go eat but this time you're paying because last time I paid
324,بھائی پاگل ہو گیا ہے کیا، ٹریفک میں گھنٹہ لگے گا اور تو پیدل جانے کی بات کر رہا ہے,"Bro, have you gone crazy, it'll take an hour in traffic and you're talking about walking"
325,یار جب سے نئی بائیک لی ہے تب سے شکل ہی نہیں دکھائی، پرانے یار بھول گئے کیا,"Man, ever since you got the new bike you've vanished, have you forgotten your old friends?"
326,ابے دستی کرو یار، گاڑی نیچے کھڑی ہے اور سب انتظار کر رہے ہیں تمہارا,"Dude, hurry up, the car is downstairs and everyone is waiting for you"
327,بھائی اتنا چمچہ مت بن باس کا، تھوڑی عزت نفس بھی رکھ اپنی یار,"Bro, don't be such a sycophant to the boss, have some self-respect man"
328,ابے پینڈو حرکتیں بند کر، شہر میں رہتا ہے تو شہر جیسا رہنا سیکھ,"Dude, stop acting like a villager, you live in the city so learn to act like it"
329,یار اخروٹ ہے بالکل، اتنی بار سمجھایا پھر بھی وہی غلطی کر دی دوبارہ,"Man, he's a complete nutcase, I explained so many times and he made the same mistake again"
330,بھائی چمار کی طرح کام مت کر، تھوڑا دماغ لگا اور سوچ کر فیصلہ کر,"Bro, don't work like a dummy, use your brain and think before making a decision"
331,ابے ڈھیلا مت بن یار، صبح سے بیٹھا ہے اور ایک کام بھی پورا نہیں کیا,"Dude, don't be lazy, you've been sitting since morning and haven't completed even one task"
332,یار اس کا میٹر گھوم گیا جب اس نے سنا کہ اس کی گاڑی پارکنگ میں ٹوٹ گئی,"Man, he completely lost it when he heard his car was damaged in the parking"
333,بھائی اس کا اسکرو ڈھیلا ہے، سیدھی سی بات سمجھ نہیں آتی اس کو کبھی,"Bro, he has a screw loose, he can never understand a simple thing"
334,ابے جگاڑ لگاؤ کوئی یار، ٹکٹ نہیں ملا تو کیا ہوا کوئی راستہ تو نکلے گا,"Dude, figure something out, so what if you didn't get a ticket, we'll find a way"
335,بھائی یہ بات کھوپڑی میں گھسا لو، اگر وقت پر نہ آئے تو کام نہیں ملے گا,"Bro, get this into your head: if you don't come on time, you won't get work"
336,ابے پتلی گلی سے نکلو یار، ماحول خراب ہو رہا ہے اور لڑائی بڑھنے والی ہے,"Dude, slip away quietly, the atmosphere is getting bad and the fight is about to escalate"
337,یار کیک کٹ گیا اس کا جب پوری کلاس کے سامنے پروفیسر نے غلطی پکڑ لی,"Man, he got totally embarrassed when the professor caught his mistake in front of the whole class"
338,بھائی دستی کرو اور جگاڑ لگاؤ، وقت کم ہے اور کام ابھی آدھا بھی نہیں ہوا,"Bro, hurry up and figure something out, time is short and the work isn't even half done"
339,ابے ڈھیلا بندہ ہے بالکل، دستی کرنے کو کہو تو بھی گھنٹوں لگا دیتا ہے,"Dude, he's completely lazy, even when you tell him to hurry he takes hours"
340,ابے کھوپڑی میں گھسا لو، چمچہ گیری سے نہیں بلکہ محنت سے ترقی ہوتی ہے,"Dude, get it into your head: progress comes from hard work, not from sucking up to people"
341,یار پینڈو حرکت کی اس نے میٹنگ میں اور سب کے سامنے ہمارا بھی کیک کٹ گیا,"Man, he acted like a total villager in the meeting and we all got embarrassed in front of everyone"
342,بھائی اس کا میٹر گھوم گیا جب پتہ چلا کہ اس کے چمچے نے ہی اس کی پیٹھ پر چھرا مارا,"Bro, he completely lost it when he found out that his own loyalist had stabbed him in the back"
343,یار اسکرو ڈھیلا ہے اس کا، پتلی گلی سے نکلنے کی بجائے لڑائی میں کود گیا خود,"Man, he has a screw loose, instead of slipping away quietly he jumped right into the fight himself"
344,بھائی آج بازار سے واپس آتے وقت رستے میں بہت زیادہ بارش ہو گئی اور پوری طرح بھیگ گیا,"Bro, on the way back from the market today it rained heavily and I got completely drenched"
345,یار کل رات اتنا اچھا کھانا کھایا کہ آج بھی وہی یاد آ رہا ہے بار بار,"Man, the food I ate last night was so good that I keep thinking about it even today"
346,ابے صبح سے فون پر لگا ہوا ہے، ایک بار نیچے آ اور سب کے ساتھ بیٹھ کر بات کر,"Dude, you've been on the phone since morning, come downstairs once and sit and talk with everyone"
347,بھائی کل امتحان ہے اور تو ابھی تک دوستوں کے ساتھ چھت پر بیٹھا گپیں مار رہا ہے,"Bro, your exam is tomorrow and you're still sitting on the roof chatting with friends"
348,ابے اس شاپ میں لاجواب چیزیں ہیں، چل آج وہاں چلتے ہیں,"Dude, that shop has amazing stuff, let's go there today"
349,ابے سالے کل کہاں تھا، فون بھی نہیں اٹھا رہا تھا اور سب پریشان تھے,"Dude, where were you yesterday, you weren't picking up your phone and everyone was worried"
350,چل آج آئس کریم کھلا، کل سے وعدہ کر رہا تھا اور آج بھی بھول جائے گا,"Come on, treat me to ice cream today, you've been promising since yesterday and today you'll forget again"
351,ابے چل، اپنی شکل دیکھی ہے کبھی,"Get out of here, have you ever seen your own face,"
352,کل کی ٹریٹ بہت اچھی تھی، سب نے خوب مفت میں توڑا اور مزہ بھی آیا,"Yesterday's treat was great, everyone had a blast eating for free and we all had fun"
353,شغل رہا یار، بہت مزہ آیا کل سب کے ساتھ، دوبارہ ایسا پروگرام بنانا چاہیے,"It was a great hangout man, had a lot of fun with everyone yesterday, we should do this again"
354,اوئے یار بھنڈ ہو گئی، سب کے سامنے ایسا ہوا کہ منہ چھپانے کو جی چاہا,"Dude, it was a total disaster, what happened in front of everyone made me want to hide my face"
355,ابے تم سالے بدھو، اتنی سیدھی بات سمجھ نہیں آتی کیا تم لوگوں کو,"You guys are idiots, can't you understand such a simple thing"
356,اب کیا ہو گیا، پھر سے کوئی نئی مصیبت آ گئی کیا، چین سے رہنے دو,"Now what happened, has some new trouble come again, just let me live in peace"
357,کل بہت برا سین ہو گیا یار، ایسا نہیں سوچا تھا کہ بات اتنی بڑھ جائے گی,"Yesterday things got really bad man, I didn't think it would escalate this much"
358,میری گاڑی لگ گئی یار، پارکنگ میں کسی نے ٹھوک دی اور چلتا بنا,"My car got hit man, someone bumped into it in the parking and ran away"
359,میں نے آج کے میچ میں دو کیچ لیے، پوری ٹیم نے بہت شاباشی دی مجھے,"I took two catches in today's match, the whole team praised me a lot"
360,آج میرے دوست نے اس لڑکے کو اتنے زور سے چانٹا مارا کہ اس کا منہ ٹوٹ گیا,Today my friend slapped that guy so hard that his face was shattered (got badly hit)
361,یار میرے ٹیوشن سر ٹپکنے والے ہیں، ہر روز نیا کام دے دیتے ہیں بغیر سوچے,"Man, my tuition teacher is driving me up the wall, he gives new work every day without thinking"
362,بیٹا سر نے اتنی ساری چیزیں دی ہیں اسائنمنٹ میں، یہ سب کیسے ہوگا یار,"The teacher has given so many things in the assignment, how will all this get done man"
363,سر بہت چر اند کرتے ہیں، ہر بات پر لیکچر شروع کر دیتے ہیں بغیر وجہ کے,"The teacher is very annoying, he starts lecturing about everything without any reason"
364,یار سر خون کہاں چوسیں گے، آفس میں یا کلاس میں، ہر جگہ پریشان کرتے ہیں,"Man, where won't the teacher drain the life out of us, at the office or in class, they trouble you everywhere"
365,یار اماں اس دفعہ فزکس میں ٹاپ ماروں گا، خوب محنت کی ہے اس بار,"Mom, this time I'm going to top in Physics, I've worked really hard this time"
366,کیسا ہوا فزکس کا ٹیسٹ، سب نے کہا مشکل تھا مگر تو کیا کہتا ہے,"How did the Physics test go, everyone said it was hard but what do you say"
367,بھائی جلدی چل وہاں، ٹائٹ قسم کا پھڈا شروع ہو چکا ہے اور حالات خراب ہیں,"Bro, come quickly, a serious fight has broken out and the situation is bad"
368,ہاں سچ بتا، قسم کھا، جھوٹ بولا تو دوستی ختم سمجھ لے آج سے,"Tell the truth, take a swear, if you lie consider the friendship over from today"
369,ابے ہاتھی بھائی ذرا سائیڈ دے، تو کھڑا ہے تو پوری گلی بند ہو جاتی ہے,"Hey big guy, move aside a bit, when you stand there the whole alley gets blocked"
370,یار چشملی آئی ہے نئی عینک لگا کر اور لگ رہی ہے بالکل پڑھاکو,"Man, the girl with glasses came wearing her new spectacles and she totally looks like a nerd"
371,یار ہاتھی کو دیکھو کیسے بھاگ رہا ہے، لگتا ہے آئس کریم مفت مل رہی ہے,"Man, look at big guy running, looks like ice cream is being given for free"
372,ابے یار یہ بائیک لش ہے بالکل، اتنی سستی قیمت میں ایسی گاڑی کہاں ملتی ہے,"Dude, this bike is absolutely amazing, where else do you get such a bike at this price"
373,یار آج کا کھانا لش تھا بالکل، ایسا بریانی پہلے کبھی نہیں کھائی تھی,"Man, today's food was absolutely delicious, I've never had biryani like this before"
374,اوئے ہوئے یار، اس نے اتنا مہنگا فون لیا ہے کہ آنکھیں کھلی رہ گئیں,"Oh wow man, he bought such an expensive phone that our eyes popped open"
375,یار اسے کچھ مت دینا، چور ہے پکا، پچھلے مہینے پین لیا تھا ابھی تک واپس نہیں کیا,"Man, don't give him anything, he's definitely a thief, he took a pen last month and still hasn't returned it"
376,ابے چور کو کتاب مت دینا، لے جائے گا اور پھر غائب ہو جائے گا مہینوں کے لیے,"Dude, don't give the book to that thief, he'll take it and then disappear for months"
377,یار اس چھوڑو کی بات مت سنو، ہر بار چھوٹی سی بات کو پہاڑ بنا دیتا ہے,"Man, don't listen to that drama queen, every time he turns a small thing into a mountain"
378,یار جھوٹے کی بات پر یقین مت کرو، کل بھی ایسے ہی کہا تھا اور نہیں آیا,"Man, don't believe the liar, he said the same thing yesterday and didn't show up"
379,ابے جھوٹی ہے بالکل، کہہ رہی تھی بیمار ہوں اور بازار میں گھوم رہی تھی,"Dude, she's a total liar, she was saying she's sick and she was roaming in the market"
380,شٹ یار، چشملے نے آج پھر میری کتاب لے گیا اور واپس کرنے کا نام بھی نہیں لیتا,"Damn man, the guy with glasses took my book again today and doesn't even talk about returning it"
381,ابے چل بے، برگر بن کر گھوم رہا ہے اور اصل میں گھر میں پینڈو جیسا رہتا ہے,"Come on, get out of here. You’re pretending to be a cool city guy, but your lifestyle says otherwise.”"
382,ابے چاچا چل یہاں سے، جھوٹا ہے بالکل، کل بھی ایسے ہی بولا تھا اور غائب ہو گیا,"get out of here, he's a complete liar, he said the same thing yesterday and disappeared"
383,یار تمہاری ڈرائنگ تو بالکل کمال ہے، سچ میں دیکھ کر مزہ آ گیا,"Man, your drawing is absolutely amazing, I genuinely enjoyed looking at it"
384,وہ بندہ بڑا بندا س ہے، کسی کی ٹینشن نہیں لیتا اور اپنے اسٹائل میں رہتا ہے,"That guy is pretty laid-back, doesn't take anyone's stress and lives life his own way"
385,یار کل تم اسکول کیوں نہیں آئے، پوری کلاس تمہیں مس کر رہی تھی,"Man, why didn't you come to school yesterday, the whole class was missing you"
386,جب اس نے وہ سلی جوک بولا تو سب نے کہا کہ یار چھوس مت مارو,"When he told that silly joke, everyone said man stop being so lame"
387,وہ تھوڑا برگر بچہ ہے، دیسی کھانے اور کلچر میں زیادہ انٹرسٹ نہیں لیتا,"He's a bit of a westernized kid (burger), he doesn't take much interest in local food and culture"
388,وہ کبھی کبھی اتنی عجیب حرکتیں کرتا ہے کہ لگتا ہے اس کا اسکرو ڈھیلا ہے,Sometimes he does such strange things that it seems like he has a screw loose
389,یار آج کا میچ تھوڑا مس ہو گیا، اتنا مزہ نہیں آیا جتنا سوچا تھا,"Man, today's match was a bit of a letdown, it wasn't as fun as I thought it would be"
390,جب اس نے جھوٹ بولا تو میرا میٹر گھوم گیا اور مجھے بہت غصہ آ گیا,"When he lied, I completely lost it and got very angry"
391,اتنا غصہ مت کرو، چل کرو اور آرام سے بات کرو یار,"Don't get so angry, chill out and talk calmly man"
392,کل رات دوستوں کے ساتھ آؤٹنگ کا پلان فائنل ہو گیا، سین آن ہے,"Last night the outing plan with friends was finalized, the scene is on"
393,اوئے کیا بکواس بول رہا ہے، ایسی بات کا کوئی سینس ہی نہیں بنتا,"What nonsense are you talking, such a thing makes no sense at all"
394,یار آج تو زبردست پارٹی تھی، میوزک اور فوڈ دونوں کمال کے تھے,"Man, today's party was amazing, both the music and food were fantastic"
395,سما نیوز کے مطابق ایران نے 4 ہزار کلومیٹر دور تک مار کرنے والا میزائل داغ دیا,"According to Samaa News, Iran has fired a missile capable of striking 4,000 kilometers away"
396,سب کو عید مبارک دل کی گہرائیوں سے,Eid Mubarak to everyone from the bottom of my heart
397,ہمارے وقت میں لوگ دس روپے عیدی دیتے تھے، اب ہمارا عیدی دینے کا وقت آیا تو مہنگائی ہو گئی، سمجھ نہیں آتا کسے پانچ سو دینا ہے اور کسے ہزار,"In our time people used to give 10 rupees as Eidi, now when our time came to give Eidi there's inflation, I can't figure out who to give 500 and who to give 1000"
398,"بالکل سہی وقت پر سہی کام کیا,W move  بھائی","Absolutely the right thing done at the right time, W move bro"
399,یار واہ بھئی واہ، اس نے تو کمال کر دیا، سچ میں دل خوش ہو گیا دیکھ کر,"Man, wow oh wow, he did something amazing, seeing it truly made my heart happy"
400,ابے بھرم ٹائٹ اور پتیلا خالی، بات کروڑوں کی اور دکان پکوڑوں کی یار,"Dude, all show no substance, talks in millions but the shop sells fritters (all talk no action)"
401,یار ٹوپی مت کراؤ، کام نہیں ہو سکتا تو سیدھا منع کر دو بہانے مت بناؤ,"Man, don't try to fool me, if the work can't be done then refuse directly, don't make excuses"
402,ابے پھنسا دیا نا آخر، ہنسی تو پھانسی والی بات ہو گئی آج,"Dude, you finally got me trapped, what started as a joke turned into something serious today"
403,یار بندہ ہیرا ہے بس ذرا سا کیڑا ہے، کام اچھا کرتا ہے مگر وقت پر نہیں آتا,"Man, the person is a diamond but has just one flaw, he does good work but doesn't come on time"
404,ابے گھنٹہ ہوا کچھ بھی، سارا دن بیٹھا رہا اور ایک کام بھی پورا نہیں کیا,"Dude, nothing was accomplished, sat all day and didn't finish even one task"
405,یار وات لگ گئی پوری، اتنی محنت کی اور آخر میں کچھ نہیں ملا ہاتھ,"Man, it was a total bust, worked so hard and in the end got nothing"
406,ابے پنگا مت لو یار، یہ بندہ چپ رہتا ہے مگر غصے میں بہت خطرناک ہے,"Dude, don't mess with him, he stays quiet but when angry he's very dangerous"
